sym,date,net_pct,cum_net_pct
603950.SH,2025-12-10,0.5743,219.1853
001202.SZ,2025-12-10,0.2815,219.4668
688608.SH,2025-12-10,0.403,219.8698
603938.SH,2025-12-10,0.2959,220.1657
002008.SZ,2025-12-10,0.2427,220.4084
688135.SH,2025-12-10,0.3042,220.7126
603917.SH,2025-12-10,0.2347,220.9473
002603.SZ,2025-12-10,0.075,221.0223
002337.SZ,2025-12-10,0.273,221.2953
000507.SZ,2025-12-10,-0.04,221.2553
002443.SZ,2025-12-10,0.0872,221.3425
300889.SZ,2025-12-10,0.4625,221.805
001317.SZ,2025-12-10,0.5221,222.3271
920541.BJ,2025-12-10,0.1869,222.514
688252.SH,2025-12-10,0.3258,222.8398
300003.SZ,2025-12-10,0.024,222.8638
300547.SZ,2025-12-10,0.1968,223.0606
001202.SZ,2025-12-10,0.2813,223.3419
300604.SZ,2025-12-10,0.4686,223.8105
920374.BJ,2025-12-10,-0.3807,223.4298
300368.SZ,2025-12-10,0.9179,224.3477
920725.BJ,2025-12-10,0.2386,224.5863
920670.BJ,2025-12-10,0.0281,224.6144
001317.SZ,2025-12-10,0.3731,224.9875
920640.BJ,2025-12-10,0.8296,225.8171
002239.SZ,2025-12-10,0.6267,226.4438
601088.SH,2025-12-10,0.3827,226.8265
002443.SZ,2025-12-10,0.4689,227.2954
300480.SZ,2025-12-10,0.456,227.7514
300003.SZ,2025-12-10,0.088,227.8394
920541.BJ,2025-12-10,0.1114,227.9508
002149.SZ,2025-12-10,0.5047,228.4555
688578.SH,2025-12-10,0.5394,228.9949
601366.SH,2025-12-10,0.1737,229.1686
002791.SZ,2025-12-10,0.1457,229.3143
000507.SZ,2025-12-10,0.148,229.4623
603236.SH,2025-12-10,0.3775,229.8398
600528.SH,2025-12-10,0.3393,230.1791
688392.SH,2025-12-10,0.7184,230.8975
300604.SZ,2025-12-10,0.5294,231.4269
300146.SZ,2025-12-10,0.2171,231.644
300542.SZ,2025-12-10,1.3496,232.9936
600845.SH,2025-12-10,0.3982,233.3918
003031.SZ,2025-12-10,0.9486,234.3404
301303.SZ,2025-12-10,0.223,234.5634
300197.SZ,2025-12-10,1.5729,236.1363
301203.SZ,2025-12-10,0.329,236.4653
002932.SZ,2025-12-10,0.1814,236.6467
300003.SZ,2025-12-10,0.1523,236.799
600551.SH,2025-12-10,0.1992,236.9982
688608.SH,2025-12-10,0.279,237.2772
600479.SH,2025-12-10,0.345,237.6222
300664.SZ,2025-12-10,0.682,238.3042
688252.SH,2025-12-10,0.0978,238.402
002008.SZ,2025-12-10,0.0116,238.4136
688670.SH,2025-12-10,2.4855,240.8991
002239.SZ,2025-12-10,0.6311,241.5302
000788.SZ,2025-12-10,0.6986,242.2288
300441.SZ,2025-12-10,0.4849,242.7137
603334.SH,2025-12-10,0.26,242.9737
920640.BJ,2025-12-10,0.7205,243.6942
300547.SZ,2025-12-10,0.4658,244.16
300184.SZ,2025-12-10,0.457,244.617
601366.SH,2025-12-10,0.1732,244.7902
603282.SH,2025-12-10,0.6287,245.4189
300264.SZ,2025-12-10,0.1106,245.5295
600551.SH,2025-12-10,0.0793,245.6088
300003.SZ,2025-12-10,0.024,245.6328
000962.SZ,2025-12-10,-0.0766,245.5562
600845.SH,2025-12-10,0.0086,245.5648
002239.SZ,2025-12-10,-0.04,245.5248
688392.SH,2025-12-10,0.5451,246.0699
002932.SZ,2025-12-10,-0.04,246.0299
300691.SZ,2025-12-10,0.9542,246.9841
688135.SH,2025-12-10,0.4098,247.3939
920489.BJ,2025-12-10,0.234,247.6279
603938.SH,2025-12-10,0.2976,247.9255
601916.SH,2025-12-10,0.2889,248.2144
600689.SH,2025-12-10,0.2366,248.451
002337.SZ,2025-12-10,0.4317,248.8827
300003.SZ,2025-12-10,0.2805,249.1632
600624.SH,2025-12-10,0.6618,249.825
002173.SZ,2025-12-10,0.5785,250.4035
000037.SZ,2025-12-10,0.3097,250.7132
601128.SH,2025-12-10,0.8184,251.5316
002745.SZ,2025-12-10,0.5017,252.0333
600551.SH,2025-12-10,0.0795,252.1128
301526.SZ,2025-12-10,1.2604,253.3732
688244.SH,2025-12-10,1.3523,254.7255
301369.SZ,2025-12-10,0.9752,255.7007
001202.SZ,2025-12-10,-0.1039,255.5968
300480.SZ,2025-12-11,0.8279,256.4247
603113.SH,2025-12-11,1.0436,257.4683
300736.SZ,2025-12-11,1.3685,258.8368
300264.SZ,2025-12-11,0.8569,259.6937
688608.SH,2025-12-11,0.4385,260.1322
300542.SZ,2025-12-11,1.7714,261.9036
300518.SZ,2025-12-11,1.2085,263.1121
002173.SZ,2025-12-11,0.7237,263.8358
300889.SZ,2025-12-11,0.7382,264.574
600528.SH,2025-12-11,0.2109,264.7849
300003.SZ,2025-12-11,0.2803,265.0652
002745.SZ,2025-12-11,0.1791,265.2443
002603.SZ,2025-12-11,0.8152,266.0595
688244.SH,2025-12-11,3.1179,269.1774
